Ride ID,Request Time,Pickup Location,Latitude Pickup,Longitude Pickup,Dropoff Location,Latitude Dropoff,Longtitude Dropoff,Ride Distance (in miles),Fare Amount (in $),Payment Method,Driver ID,Vehicle Type,Traffic Condition,Peak Hours,Day of Week,Public Holiday,User Rating
11,3-29-24 7:38,"-71.355124,171.413155",-71.355124,171.413155,"-22.547823,4.367576",-22.547823,4.367576,7949.406571,814.94,Visa,LU5050,Sedan,High,Yes,Sunday,No,5
12,12-8-22 10:18,"24.161505,166.405314",24.161505,166.405314,"60.451037,-97.50036",60.451037,-97.50036,1612.599095,181.26,Apple Pay,ZQ6917,Sedan,Low,Yes,Sunday,No,2
13,11-18-23 13:43,"-24.274694,58.552138",-24.274694,58.552138,"-26.788376,63.748096",-26.788376,63.748096,7656.316483,785.63,Visa,HK5798,Motorcycle,Medium,Yes,Tuesday,Yes,5
14,5-29-22 17:32,"11.341681,7.873752",11.341681,7.873752,"-63.679369,-125.021909",-63.679369,-125.021909,4179.080217,437.91,Debit Card,SS7429,Motorcycle,Medium,No,Saturday,No,5
15,11-1-22 14:50,"-74.30921,55.129345",-74.30921,55.129345,"88.886108,162.505118",88.886108,162.505118,9553.972701,975.40,PayPal,GC5472,Bus,Medium,No,Sunday,No,1
16,3-30-24 2:44,"1.810909,-41.427355",1.810909,-41.427355,"-76.764481,132.692607",-76.764481,132.692607,9143.94385,934.39,Cash,MD8003,Bus,Low,No,Sunday,Yes,1
17,6-4-22 0:12,"-0.417621,-137.076022",-0.417621,-137.076022,"63.299871,-65.928228",63.299871,-65.928228,4290.47407,449.05,Cash,CT0216,Sedan,Medium,Yes,Monday,Yes,3
18,8-26-24 18:40,"-2.852651,82.618794",-2.852651,82.618794,"-37.823164,-19.199736",-37.823164,-19.199736,5932.545914,613.25,Debit Card,OK3187,Motorcycle,Medium,Yes,Wednesday,Yes,2
19,8-18-22 18:29,"-61.539763,132.984108",-61.539763,132.984108,"72.21171,8.081635",72.21171,8.081635,9791.928858,999.19,PayPal,CQ3790,Sedan,Low,Yes,Friday,No,2
20,8-25-23 20:21,"-20.060973,-108.720951",-20.060973,-108.720951,"21.265151,-44.202854",21.265151,-44.202854,5422.841624,562.28,Apple Pay,RY6841,Motorcycle,High,No,Monday,No,2
21,1-13-23 10:09,"57.019425,162.159147",57.019425,162.159147,"-81.631656,94.903245",-81.631656,94.903245,2713.076023,291.31,Visa,IJ7352,Motorcycle,High,Yes,Monday,Yes,4
22,9-7-23 2:01,"9.908834,180.158245",9.908834,180.158245,"32.78396,-21.837252",32.78396,-21.837252,8623.871065,882.39,Apple Pay,OI8047,Motorcycle,Low,Yes,Sunday,No,2
23,6-2-24 4:29,"-76.788961,-39.714667",-76.788961,-39.714667,"-45.940435,-52.625013",-45.940435,-52.625013,2569.582212,276.96,Visa,FV8783,Bus,Low,Yes,Thursday,No,5
24,1-15-22 7:00,"34.705122,166.398699",34.705122,166.398699,"36.036601,165.53503",36.036601,165.53503,3458.301127,365.83,PayPal,YJ7526,Bus,High,Yes,Sunday,No,3
25,3-15-24 23:10,"-44.068861,62.816275",-44.068861,62.816275,"37.217202,-16.754959",37.217202,-16.754959,7959.399659,815.94,Cash,WJ8627,Bus,Low,Yes,Tuesday,No,4
26,8-30-23 22:55,"19.733078,-138.010947",19.733078,-138.010947,"44.276142,-68.333061",44.276142,-68.333061,6048.137628,624.81,Visa,OS8476,Motorcycle,Medium,Yes,Sunday,Yes,2
27,8-31-23 2:12,"62.805617,179.622728",62.805617,179.622728,"32.166561,113.772545",32.166561,113.772545,6459.860952,665.99,Cash,GC8960,Bus,Low,Yes,Tuesday,No,5
28,12-23-24 16:56,"74.998848,-133.020066",74.998848,-133.020066,"-62.585566,31.707404",-62.585566,31.707404,9249.847992,944.98,Apple Pay,TG4362,SUV,Low,No,Monday,No,1
29,7-25-22 0:57,"-45.533952,85.850066",-45.533952,85.850066,"41.632229,-53.283959",41.632229,-53.283959,9379.071191,957.91,Apple Pay,TK0214,Bus,Medium,No,Sunday,Yes,5
30,12-28-24 19:55,"-65.815964,-50.976469",-65.815964,-50.976469,"62.803663,-125.845825",62.803663,-125.845825,4354.468359,455.45,Apple Pay,DH1100,SUV,Medium,Yes,Friday,Yes,1
31,4-26-23 14:03,"-27.124851,83.640652",-27.124851,83.640652,"-4.162306,-113.919839",-4.162306,-113.919839,8230.041962,843.00,Apple Pay,NF8360,SUV,Medium,Yes,Tuesday,Yes,2
32,10-27-22 14:18,"-21.986085,80.341254",-21.986085,80.341254,"-1.703599,-95.727932",-1.703599,-95.727932,7761.955555,796.20,PayPal,NA8482,Motorcycle,Medium,Yes,Tuesday,No,1
33,5-2-24 21:51,"19.341216,50.818495",19.341216,50.818495,"-51.894053,83.377704",-51.894053,83.377704,6882.218887,708.22,Debit Card,SG6353,Sedan,High,No,Saturday,No,4
34,1-10-24 8:11,"2.270259,62.824341",2.270259,62.824341,"-20.90691,16.950201",-20.90691,16.950201,4608.756624,480.88,Cash,NB7373,Sedan,Medium,Yes,Thursday,Yes,3
35,7-20-22 17:02,"-55.930346,81.189827",-55.930346,81.189827,"-88.505608,59.029095",-88.505608,59.029095,10571.65811,1077.17,Cash,XR2695,Sedan,Low,No,Wednesday,Yes,1
36,9-25-23 1:57,"31.46454,-16.556146",31.46454,-16.556146,"-42.870171,-128.661949",-42.870171,-128.661949,6570.572959,677.06,Cash,OW3593,Motorcycle,Medium,No,Friday,No,4
37,10-24-22 11:59,"-8.326386,-155.055392",-8.326386,-155.055392,"56.102036,98.142514",56.102036,98.142514,8792.305383,899.23,Cash,UN5697,Motorcycle,High,Yes,Friday,Yes,4
38,3-7-23 17:20,"63.228189,-55.337961",63.228189,-55.337961,"-75.904027,0.642362",-75.904027,0.642362,9150.924253,935.09,Apple Pay,RX9981,SUV,High,Yes,Wednesday,No,3
39,12-25-23 3:59,"-6.388951,150.91352",-6.388951,150.91352,"-49.533003,9.866375",-49.533003,9.866375,8274.292862,847.43,Visa,ZK8080,SUV,High,Yes,Tuesday,Yes,5
40,12-7-24 17:37,"-56.119582,-59.293663",-56.119582,-59.293663,"-47.945281,-48.432365",-47.945281,-48.432365,220.0555828,42.01,Visa,CX9119,Bus,High,No,Friday,Yes,5
41,9-17-24 14:11,"79.611925,-108.854164",79.611925,-108.854164,"-20.606381,165.869706",-20.606381,165.869706,10420.01265,1062.00,PayPal,UN8632,SUV,Low,Yes,Tuesday,No,3
42,3-12-24 9:43,"-11.878708,-103.784015",-11.878708,-103.784015,"76.516014,30.297941",76.516014,30.297941,6065.985472,626.60,Cash,SZ5824,Sedan,Low,No,Thursday,Yes,3
43,10-22-22 15:17,"9.286758,-49.858992",9.286758,-49.858992,"-54.941175,-27.570569",-54.941175,-27.570569,4407.870059,460.79,Visa,JU9933,Motorcycle,Low,No,Wednesday,No,1
44,3-7-23 16:05,"49.942728,125.002313",49.942728,125.002313,"-80.99399,35.83169",-80.99399,35.83169,2589.875175,278.99,Visa,QC0896,Motorcycle,Medium,Yes,Friday,No,4
45,1-3-23 11:14,"61.893753,-28.883016",61.893753,-28.883016,"-20.71681,81.078211",-20.71681,81.078211,8339.343896,853.93,Cash,JL9440,Motorcycle,Low,No,Sunday,No,1
46,9-22-22 17:48,"56.038699,-110.601864",56.038699,-110.601864,"-27.403022,119.346048",-27.403022,119.346048,8826.066763,902.61,PayPal,TB7066,Sedan,Medium,Yes,Sunday,No,4
47,3-10-24 21:15,"-74.306774,108.610686",-74.306774,108.610686,"-37.821312,-153.113242",-37.821312,-153.113242,10440.95575,1064.10,Debit Card,SJ2890,Bus,High,Yes,Saturday,Yes,1
48,2-24-22 11:49,"-75.344278,-176.244949",-75.344278,-176.244949,"-86.620423,-115.635861",-86.620423,-115.635861,6844.60978,704.46,Cash,IS1390,Motorcycle,Medium,No,Saturday,Yes,2
49,7-18-24 9:39,"32.093929,98.950964",32.093929,98.950964,"-24.087504,-137.966476",-24.087504,-137.966476,3777.993159,397.80,Cash,NK1009,SUV,Medium,Yes,Thursday,Yes,4
50,12-9-24 22:58,"-84.277566,-1.930045",-84.277566,-1.930045,"86.575516,31.586481",86.575516,31.586481,5859.264663,605.93,Cash,IX3239,Motorcycle,Medium,Yes,Monday,Yes,1
51,9-6-22 12:43,"62.997102,-37.0785",62.997102,-37.0785,"7.035918,62.401678",7.035918,62.401678,7555.708598,775.57,Debit Card,AL2881,Bus,Low,No,Tuesday,No,5
52,10-17-22 11:18,"78.851283,-47.347107",78.851283,-47.347107,"34.605899,7.866945",34.605899,7.866945,8789.179477,898.92,Visa,CT6691,Sedan,Low,No,Sunday,No,5
53,7-16-23 20:17,"-28.364061,2.481175",-28.364061,2.481175,"13.108162,164.702378",13.108162,164.702378,9849.588297,1004.96,Apple Pay,LF3796,Motorcycle,Medium,No,Monday,Yes,2
54,2-14-24 23:10,"-48.848821,113.060333",-48.848821,113.060333,"-37.332637,-54.278567",-37.332637,-54.278567,11051.92537,1125.19,Cash,NE5262,Motorcycle,Low,No,Tuesday,No,1
55,2-3-22 14:10,"-82.10041,133.880659",-82.10041,133.880659,"23.588973,150.453194",23.588973,150.453194,9055.636486,925.56,Visa,GX2783,Sedan,Medium,Yes,Saturday,Yes,2
56,8-10-23 23:08,"-29.658019,28.613578",-29.658019,28.613578,"41.382806,89.599375",41.382806,89.599375,5130.914499,533.09,Visa,IL1263,Bus,Medium,No,Tuesday,Yes,1
57,10-11-24 5:33,"-7.512709,-109.935076",-7.512709,-109.935076,"39.538218,53.925634",39.538218,53.925634,7034.211832,723.42,Apple Pay,VW4343,Sedan,Medium,No,Thursday,No,3
58,8-1-24 14:34,"8.419383,9.325307",8.419383,9.325307,"-1.158467,-179.063221",-1.158467,-179.063221,11203.00077,1140.30,Apple Pay,FC1691,Bus,Medium,No,Thursday,Yes,2
59,8-27-24 17:31,"-0.02791,105.032304",-0.02791,105.032304,"-74.768608,11.369754",-74.768608,11.369754,6289.802549,648.98,Debit Card,QV8925,SUV,Medium,No,Monday,No,3
60,6-26-22 7:40,"45.424093,-137.531807",45.424093,-137.531807,"-41.451686,-149.951652",-41.451686,-149.951652,7494.437611,769.44,Debit Card,WY7957,Bus,High,No,Monday,Yes,3
61,11-18-22 20:45,"-69.780134,175.646936",-69.780134,175.646936,"74.533632,-119.919741",74.533632,-119.919741,5167.245217,536.72,Visa,VV8931,Bus,Low,No,Wednesday,Yes,2
62,3-19-23 14:50,"22.398779,54.8236",22.398779,54.8236,"77.326727,-13.705048",77.326727,-13.705048,5004.728714,520.47,Debit Card,OY9224,SUV,Low,Yes,Thursday,Yes,1
63,6-7-24 8:24,"79.783238,-40.184268",79.783238,-40.184268,"12.022182,-48.678324",12.022182,-48.678324,8613.691197,881.37,Cash,DQ1180,Motorcycle,High,Yes,Tuesday,No,5
64,1-25-23 15:21,"30.26604,-71.314273",30.26604,-71.314273,"61.284928,-67.515267",61.284928,-67.515267,9024.46731,922.45,Cash,BM2340,Bus,Low,No,Tuesday,Yes,1
65,4-7-24 0:01,"12.622036,79.802538",12.622036,79.802538,"-23.953327,32.034528",-23.953327,32.034528,4963.832853,516.38,Apple Pay,CI3368,Sedan,Low,Yes,Saturday,No,3
66,9-20-24 19:30,"-13.258847,122.066549",-13.258847,122.066549,"65.216777,43.516069",65.216777,43.516069,9149.5151,934.95,Apple Pay,CN1432,SUV,High,No,Saturday,No,4
67,4-3-22 22:47,"74.543751,118.667523",74.543751,118.667523,"-65.546742,99.742034",-65.546742,99.742034,982.8388359,118.28,Cash,XG0754,Motorcycle,Medium,No,Friday,Yes,5
68,7-9-23 19:46,"60.280529,-109.000293",60.280529,-109.000293,"70.901071,-79.967716",70.901071,-79.967716,9180.033222,938.00,Visa,GN3033,SUV,High,No,Monday,No,2
69,12-16-24 8:10,"-71.353351,-174.786146",-71.353351,-174.786146,"-44.578515,179.854551",-44.578515,179.854551,4956.48161,515.65,Visa,DM2524,Sedan,Medium,Yes,Monday,Yes,4
70,4-25-22 0:45,"-9.476715,127.114874",-9.476715,127.114874,"86.140498,-144.268944",86.140498,-144.268944,5226.545595,542.65,Cash,PW4576,Bus,Low,No,Thursday,Yes,3
71,11-29-23 23:05,"-36.649097,-71.517028",-36.649097,-71.517028,"-1.54739,7.769143",-1.54739,7.769143,2432.427481,263.24,PayPal,CN6475,SUV,High,Yes,Saturday,No,4
72,1-15-22 0:55,"88.603778,-121.633566",88.603778,-121.633566,"46.69083,-37.309063",46.69083,-37.309063,10259.95154,1046.00,PayPal,DM6202,Motorcycle,Low,Yes,Tuesday,No,3
73,4-11-22 6:23,"-79.827135,144.558043",-79.827135,144.558043,"83.009933,48.353766",83.009933,48.353766,9228.730652,942.87,Apple Pay,BI6231,SUV,Low,No,Wednesday,No,3
74,1-12-22 4:32,"-66.378909,58.045356",-66.378909,58.045356,"24.236043,-171.396131",24.236043,-171.396131,11676.86991,1187.69,Debit Card,PT7430,Motorcycle,High,Yes,Tuesday,No,4
75,4-13-24 2:56,"-17.195492,-117.468992",-17.195492,-117.468992,"22.607972,165.224696",22.607972,165.224696,3609.229732,380.92,PayPal,LC7317,Sedan,Low,No,Friday,Yes,5
76,12-13-23 22:02,"-81.099539,3.828805",-81.099539,3.828805,"-87.90841,-129.222",-87.90841,-129.222,6020.83224,622.08,PayPal,IO9237,Motorcycle,Low,Yes,Wednesday,No,3
77,3-23-23 4:17,"-21.707278,-25.546822",-21.707278,-25.546822,"37.210638,113.363684",37.210638,113.363684,4760.293153,496.03,PayPal,AT1711,Bus,High,Yes,Saturday,Yes,3
78,4-10-24 15:29,"38.560007,55.338214",38.560007,55.338214,"-31.6244,6.952371",-31.6244,6.952371,2117.207375,231.72,Apple Pay,ZF7512,Motorcycle,High,Yes,Wednesday,Yes,1
79,1-19-23 12:12,"-21.523612,169.424402",-21.523612,169.424402,"12.645185,44.536132",12.645185,44.536132,10194.65668,1039.47,PayPal,XV8394,SUV,Low,No,Monday,No,1
80,9-26-22 8:29,"19.464971,-140.780386",19.464971,-140.780386,"9.105368,-56.831046",9.105368,-56.831046,8330.865158,853.09,Debit Card,EV9997,Sedan,Medium,Yes,Wednesday,No,3
81,6-8-23 14:23,"1.790845,-10.75205",1.790845,-10.75205,"32.275518,-86.228375",32.275518,-86.228375,8175.832877,837.58,Debit Card,DV4660,SUV,Low,Yes,Friday,Yes,4
82,10-28-22 16:32,"41.457175,45.998256",41.457175,45.998256,"20.575888,-36.973348",20.575888,-36.973348,2827.694215,302.77,Visa,WM6775,Sedan,Low,Yes,Tuesday,Yes,3
83,12-9-24 7:01,"6.542659,142.475045",6.542659,142.475045,"-29.694198,1.74664",-29.694198,1.74664,8780.457348,898.05,PayPal,WZ3556,Bus,Low,No,Friday,No,5
84,1-20-24 15:34,"61.693761,-139.839368",61.693761,-139.839368,"45.466612,179.289539",45.466612,179.289539,7495.335603,769.53,Debit Card,UL8543,Bus,Medium,No,Thursday,No,2
85,8-1-22 10:20,"17.2223,27.621277",17.2223,27.621277,"65.247475,21.749781",65.247475,21.749781,2854.227751,305.42,Cash,AX6860,SUV,High,No,Saturday,Yes,4
86,7-1-24 11:05,"-89.135857,-32.324354",-89.135857,-32.324354,"88.773488,116.015679",88.773488,116.015679,3932.221386,413.22,Debit Card,GX0880,Sedan,Low,Yes,Thursday,Yes,5
87,10-30-22 20:36,"74.410599,-117.417285",74.410599,-117.417285,"2.765088,-57.182008",2.765088,-57.182008,10813.10891,1101.31,PayPal,TM5954,Sedan,Medium,No,Wednesday,Yes,3
88,4-28-24 19:33,"-6.949591,73.531819",-6.949591,73.531819,"28.330137,54.163556",28.330137,54.163556,5673.706017,587.37,Debit Card,TA8102,Motorcycle,High,Yes,Sunday,No,1
89,10-21-23 4:02,"-44.007822,81.987247",-44.007822,81.987247,"-59.772187,-81.845028",-59.772187,-81.845028,8742.031902,894.20,PayPal,TL8825,Bus,High,No,Tuesday,No,5
90,10-15-22 4:38,"-11.625776,-36.92188",-11.625776,-36.92188,"30.830212,101.314792",30.830212,101.314792,4664.252155,486.43,Visa,LU8586,SUV,Medium,Yes,Tuesday,Yes,2
91,8-23-24 22:09,"-17.308569,142.142161",-17.308569,142.142161,"-19.612382,-148.229236",-19.612382,-148.229236,5062.808648,526.28,Apple Pay,AF2786,Bus,Low,No,Wednesday,No,2
92,6-23-24 1:41,"12.731823,-118.800775",12.731823,-118.800775,"47.951667,-143.125173",47.951667,-143.125173,5144.478122,534.45,Apple Pay,QQ8057,Bus,High,Yes,Tuesday,No,3
93,12-16-22 15:17,"81.847403,-157.675037",81.847403,-157.675037,"-40.672098,-87.067956",-40.672098,-87.067956,8140.166444,834.02,PayPal,YI9218,Sedan,High,No,Thursday,No,5
94,4-2-22 1:24,"24.93741,38.657025",24.93741,38.657025,"-51.613704,-35.523466",-51.613704,-35.523466,1334.440899,153.44,Visa,FX2357,Sedan,Medium,No,Monday,Yes,3
95,10-7-23 16:17,"75.529141,28.204615",75.529141,28.204615,"-83.169979,-145.224027",-83.169979,-145.224027,3861.641555,406.16,Cash,QN8873,Motorcycle,High,No,Thursday,Yes,4
96,1-18-23 14:44,"-83.392214,-139.872219",-83.392214,-139.872219,"86.461532,-63.671645",86.461532,-63.671645,3056.37268,325.64,PayPal,UW2978,Sedan,Low,No,Wednesday,Yes,5
97,8-18-22 3:17,"-57.930573,-3.549159",-57.930573,-3.549159,"-42.536239,-7.650445",-42.536239,-7.650445,4204.327071,440.43,Cash,KD0017,Motorcycle,Medium,No,Monday,Yes,3
98,10-27-24 12:21,"21.42705,-153.606315",21.42705,-153.606315,"-73.284476,-80.631113",-73.284476,-80.631113,11860.61462,1206.06,Visa,KO9876,Motorcycle,Low,Yes,Tuesday,Yes,5
99,3-22-23 21:02,"-40.427206,62.835303",-40.427206,62.835303,"12.739825,-40.518968",12.739825,-40.518968,7715.247845,791.52,Apple Pay,HE5034,Sedan,Low,Yes,Thursday,No,2
100,11-3-23 18:59,"74.019442,93.122976",74.019442,93.122976,"-3.928739,114.397413",-3.928739,114.397413,1019.216113,121.92,Visa,AK7778,SUV,Medium,No,Saturday,Yes,1
101,11-8-23 22:17,"-38.956647,-133.534255",-38.956647,-133.534255,"-58.953451,-116.839966",-58.953451,-116.839966,5538.15032,573.82,Visa,RR7422,Bus,Medium,No,Tuesday,No,5
102,9-22-22 0:28,"-44.90521,-69.421111",-44.90521,-69.421111,"-11.755648,-71.275894",-11.755648,-71.275894,2631.117797,283.11,Apple Pay,WY3292,Bus,Low,Yes,Wednesday,Yes,3
103,5-16-23 4:04,"19.882583,-146.782065",19.882583,-146.782065,"-1.992532,140.875875",-1.992532,140.875875,4411.074579,461.11,Apple Pay,AA6093,Bus,Medium,Yes,Sunday,No,2
104,5-1-23 8:01,"-58.772642,-151.767644",-58.772642,-151.767644,"-52.293713,106.184927",-52.293713,106.184927,2346.558364,254.66,Cash,GV3683,Bus,Low,No,Tuesday,Yes,5
105,2-8-23 23:00,"-10.008343,-143.537057",-10.008343,-143.537057,"29.342231,82.312746",29.342231,82.312746,7734.973104,793.50,PayPal,AA8163,Bus,Medium,Yes,Saturday,No,5
106,7-12-24 7:39,"-2.237301,-54.411071",-2.237301,-54.411071,"77.973132,138.563963",77.973132,138.563963,4940.500891,514.05,Apple Pay,NS4592,Bus,Medium,No,Thursday,No,2
107,10-22-22 8:29,"88.398403,16.760647",88.398403,16.760647,"36.70565,-159.061607",36.70565,-159.061607,5167.198022,536.72,Apple Pay,QC0618,SUV,Low,Yes,Monday,Yes,5
108,6-12-22 17:41,"-44.431983,-13.869002",-44.431983,-13.869002,"-48.289791,-69.069414",-48.289791,-69.069414,2440.256759,264.03,PayPal,PM7654,SUV,High,No,Monday,No,5
109,5-19-22 8:50,"10.082343,-11.786468",10.082343,-11.786468,"-34.329209,60.64631",-34.329209,60.64631,6692.416755,689.24,Cash,HQ5027,Bus,Low,Yes,Thursday,Yes,2
110,6-2-24 9:28,"62.775731,62.334198",62.775731,62.334198,"-63.723333,49.331616",-63.723333,49.331616,3124.654899,332.47,Debit Card,TS1930,SUV,High,Yes,Tuesday,No,4
111,1-14-22 15:15,"42.485401,-48.19587",42.485401,-48.19587,"87.283115,-155.821607",87.283115,-155.821607,9434.456845,963.45,Apple Pay,ZP5471,Bus,High,No,Wednesday,No,1
112,2-4-24 22:22,"-66.05151,-43.699667",-66.05151,-43.699667,"36.799708,151.990632",36.799708,151.990632,4116.113417,431.61,Debit Card,XD1629,Bus,High,Yes,Thursday,No,3
113,4-4-23 5:25,"-26.624473,-81.879489",-26.624473,-81.879489,"46.593345,-100.312592",46.593345,-100.312592,4854.362737,505.44,Visa,CI2091,Bus,High,No,Wednesday,Yes,1
114,1-26-24 1:49,"86.40451,-107.080125",86.40451,-107.080125,"-38.071712,-113.804347",-38.071712,-113.804347,11293.73954,1149.37,Debit Card,GK0834,Bus,Low,No,Saturday,Yes,4
115,12-26-24 17:36,"-47.069991,72.094719",-47.069991,72.094719,"-6.295104,-179.452192",-6.295104,-179.452192,10694.50868,1089.45,Debit Card,AJ8206,Sedan,Medium,Yes,Friday,No,4
116,11-1-24 4:09,"-72.457959,91.761151",-72.457959,91.761151,"-28.761353,-96.805225",-28.761353,-96.805225,11265.67642,1146.57,Cash,CA1330,SUV,Medium,Yes,Saturday,No,2
117,2-23-22 22:50,"-33.221087,155.059333",-33.221087,155.059333,"-88.397498,-9.199268",-88.397498,-9.199268,7732.869705,793.29,PayPal,YT1988,Sedan,Low,Yes,Tuesday,No,4
118,6-27-22 22:21,"-54.848977,-34.169263",-54.848977,-34.169263,"-80.89933,21.953331",-80.89933,21.953331,4789.390365,498.94,Visa,VD4119,Bus,Medium,No,Wednesday,No,1
119,9-11-23 15:33,"51.886563,-174.389607",51.886563,-174.389607,"-1.256466,-164.625378",-1.256466,-164.625378,4092.395915,429.24,Apple Pay,CO1709,Bus,Low,Yes,Wednesday,Yes,3
120,6-21-22 8:24,"72.628133,133.4498",72.628133,133.4498,"-18.500997,101.111776",-18.500997,101.111776,2584.827595,278.48,PayPal,ZZ4574,Sedan,Medium,Yes,Monday,No,2
121,10-21-22 20:09,"-28.752949,-60.380207",-28.752949,-60.380207,"56.141899,-168.785648",56.141899,-168.785648,5776.850082,597.69,Apple Pay,RR1767,Motorcycle,Low,Yes,Tuesday,Yes,3
122,8-11-24 16:52,"22.827652,83.170611",22.827652,83.170611,"3.448743,98.546597",3.448743,98.546597,4694.952479,489.50,Apple Pay,OS0391,Motorcycle,High,Yes,Sunday,Yes,4
123,12-8-22 14:58,"83.599349,66.995826",83.599349,66.995826,"-72.906167,-20.462271",-72.906167,-20.462271,1363.293946,156.33,Debit Card,FO6987,Motorcycle,Medium,Yes,Monday,Yes,3
124,12-13-23 10:03,"-33.473017,161.708457",-33.473017,161.708457,"-74.645427,-14.107537",-74.645427,-14.107537,8584.613153,878.46,PayPal,QY6898,Bus,High,Yes,Thursday,No,1
125,1-12-23 0:32,"-67.952836,-104.064064",-67.952836,-104.064064,"-35.511726,131.045493",-35.511726,131.045493,618.7928779,81.88,Cash,BW6737,SUV,Medium,Yes,Friday,No,1
126,1-29-22 12:30,"45.891733,82.464908",45.891733,82.464908,"45.715875,-19.101689",45.715875,-19.101689,2857.343171,305.73,PayPal,UG3404,SUV,High,No,Friday,Yes,1
127,7-5-22 6:14,"-47.976828,-121.082494",-47.976828,-121.082494,"77.39787,-28.662965",77.39787,-28.662965,2968.42356,316.84,Visa,JN3663,SUV,Medium,Yes,Tuesday,Yes,4
128,6-27-22 7:12,"3.20578,5.323775",3.20578,5.323775,"31.019629,-88.386864",31.019629,-88.386864,8214.112754,841.41,Apple Pay,ST8666,Motorcycle,Low,No,Monday,Yes,1
129,10-21-22 5:31,"58.408411,-12.548233",58.408411,-12.548233,"-0.961836,100.296023",-0.961836,100.296023,7362.512501,756.25,Cash,HQ5984,Bus,Low,No,Tuesday,Yes,1
130,1-8-24 11:29,"-49.605756,-169.572221",-49.605756,-169.572221,"-45.004977,-106.874103",-45.004977,-106.874103,6865.589748,706.56,Apple Pay,QS1729,Motorcycle,Medium,No,Sunday,Yes,5
131,5-30-24 15:36,"-58.376552,-88.722369",-58.376552,-88.722369,"-23.509043,-156.262593",-23.509043,-156.262593,2245.871716,244.59,Cash,IJ0786,Sedan,Low,No,Sunday,Yes,2
132,9-30-22 9:44,"-62.730242,-49.520098",-62.730242,-49.520098,"-30.135151,12.860476",-30.135151,12.860476,1842.473814,204.25,Apple Pay,CH9098,SUV,Medium,No,Friday,No,3
133,5-24-23 6:28,"42.756319,-148.146339",42.756319,-148.146339,"44.507131,175.620251",44.507131,175.620251,6013.569712,621.36,Visa,JB5580,SUV,High,Yes,Saturday,Yes,4
134,6-21-23 13:06,"-22.946534,-49.03426",-22.946534,-49.03426,"48.656894,-92.647488",48.656894,-92.647488,6922.44941,712.24,Visa,QH3009,SUV,High,Yes,Thursday,Yes,3
135,4-13-23 23:57,"-9.972751,35.829307",-9.972751,35.829307,"-35.919634,-20.017568",-35.919634,-20.017568,3330.243945,353.02,Apple Pay,GJ7497,Sedan,High,Yes,Thursday,Yes,3
136,7-16-23 12:16,"-40.132241,-96.224898",-40.132241,-96.224898,"31.153615,-35.464573",31.153615,-35.464573,3632.152645,383.22,Visa,OU0834,Sedan,High,Yes,Sunday,Yes,3
137,8-19-24 20:23,"33.99015,126.554446",33.99015,126.554446,"35.089787,18.468433",35.089787,18.468433,6314.230244,651.42,Apple Pay,UO6995,Motorcycle,Low,No,Tuesday,Yes,1
